1)

MariaDB [employee]> SELECT e.name AS employee, m.name AS manager FROM employees e LEFT JOIN employees m ON e.manager_id=m.id;

+-----------+----------+
| employee  | manager  |
+-----------+----------+
| James     | NULL     |
| Maria     | NULL     |
| Robert    | NULL     |
| Emma      | NULL     |
| Liam      | NULL     |
| Olivia    | NULL     |
| Noah      | NULL     |
| Ava       | NULL     |
| William   | NULL     |
| Sophia    | NULL     |
| Ethan     | NULL     |
| Isabella  | NULL     |
| Charlotte | Emma     |
| Ella      | William  |
| Scarlett  | Olivia   |
| Ava       | Ethan    |
| Scarlett  | Sophia   |
| Charlotte | Robert   |
| Evelyn    | Ava      |
| Mia       | Noah     |
| Ava       | Ethan    |
| Ella      | James    |
| Logan     | Emma     |
| Evelyn    | Emma     |
| Scarlett  | Ethan    |
| Zoe       | Noah     |
| Mia       | Isabella |
| Grace     | Ethan    |
| Olivia    | James    |
| Scarlett  | William  |
| Mia       | Ava      |
| Emma      | Olivia   |
| Ethan     | Ethan    |
| Logan     | Maria    |
| Abigail   | Emma     |
| Aiden     | Noah     |
| Ava       | Liam     |
| Charlotte | James    |
| Mateo     | Sophia   |
| Charlotte | Olivia   |
| Jackson   | Sophia   |
| Evelyn    | Ethan    |
| Joseph    | James    |
| Amelia    | Liam     |
| Elijah    | William  |
| Grace     | Liam     |
| Olivia    | Isabella |
| Aiden     | Emma     |
| Mason     | Maria    |
| Ava       | Ethan    |
| Ava       | Liam     |
| Ava       | Emma     |
| Elijah    | Emma     |
| Sophia    | Maria    |
| Joseph    | Ava      |
| Oliver    | Ava      |
| Omar      | NULL     |
| Mia       | Liam     |
| Zoe       | Maria    |
| Jackson   | James    |
| Amelia    | Noah     |
| Ella      | Emma     |
| Evelyn    | Olivia   |
| Grace     | William  |
| Isabella  | Robert   |
| Scarlett  | Noah     |
| Joseph    | James    |
| James     | Ethan    |
| Mason     | Maria    |
| Amelia    | Ava      |
| Sophia    | Liam     |
| Mateo     | Isabella |
| Aiden     | James    |
| Amelia    | James    |
| Lucas     | Ava      |
| Scarlett  | Liam     |
| Aiden     | Olivia   |
| Ava       | James    |
| Isabella  | Olivia   |
| Sophia    | James    |
| Ella      | Ethan    |
| Noah      | Liam     |
| Isabella  | Sophia   |
| James     | Ethan    |
| David     | Noah     |
| Mia       | Robert   |
| Noah      | William  |
| Olivia    | Sophia   |
| Harper    | Sophia   |
| Sophia    | Maria    |
| Emma      | Liam     |
| Grace     | Emma     |
| Aiden     | Liam     |
| Mateo     | Ethan    |
| Oliver    | Robert   |
| Ava       | Ethan    |
| Elijah    | Emma     |
| Abigail   | Liam     |
| Ethan     | James    |
| Zoe       | James    |
| Aiden     | Ava      |
| Joseph    | Isabella |
| Lucas     | Robert   |
| Noah      | Noah     |
| Zoe       | Ava      |
| Lucas     | Sophia   |
| Logan     | William  |
| Emma      | Robert   |
| Logan     | James    |
| Lucas     | William  |
| Sebastian | Sophia   |
| Joseph    | Sophia   |
| Evelyn    | Ava      |
| Mia       | Emma     |
| Emma      | Robert   |
| Ella      | Noah     |
| Scarlett  | Ava      |
| Ethan     | Ava      |
| Liam      | Noah     |
| Olivia    | Emma     |
| Liam      | Emma     |
| Mason     | Liam     |
| Jackson   | Ava      |
| Isabella  | Ethan    |
| Logan     | Ethan    |
| Lucas     | Sophia   |
| Mateo     | Isabella |
| Abigail   | Noah     |
| David     | Ethan    |
| Ella      | Ava      |
| David     | Olivia   |
| Charlotte | James    |
| Sophia    | Liam     |
| Harper    | Olivia   |
| Mateo     | Sophia   |
| Mateo     | Ava      |
| Lucas     | Ethan    |
| Evelyn    | Ethan    |
| David     | James    |
| Isabella  | Liam     |
| Ava       | Sophia   |
| Liam      | Olivia   |
| Zoe       | William  |
| Sherif    | NULL     |
| Isabella  | Sophia   |
| Olivia    | Noah     |
| Sebastian | William  |
| Jackson   | Olivia   |
| Abigail   | Ethan    |
| Amelia    | Sophia   |
| Joseph    | Ava      |
| Logan     | Liam     |
| Sophia    | Olivia   |
| Elijah    | Liam     |
| Logan     | James    |
| Ethan     | Robert   |
| Jackson   | Ava      |
| Sophia    | Olivia   |
| Charlotte | James    |
| Mateo     | William  |
| Lucas     | Ethan    |
| Ella      | James    |
| James     | Liam     |
| Oliver    | Maria    |
| Mateo     | William  |
| Mia       | Robert   |
| Ava       | Olivia   |
| Oliver    | Olivia   |
| Emma      | William  |
| Aiden     | William  |
| Grace     | Ava      |
| Lucas     | James    |
| Grace     | Robert   |
| Jackson   | Noah     |
| Abigail   | Ava      |
| Jackson   | Ava      |
| Noah      | Olivia   |
| Charlotte | Olivia   |
| Mia       | William  |
| Isabella  | Maria    |
| Joseph    | Isabella |
| Emma      | Emma     |
| Liam      | Noah     |
| Mason     | Isabella |
| Lucas     | Ava      |
| Grace     | Ethan    |
| Charlotte | Ava      |
| David     | Olivia   |
+-----------+----------+
188 rows in set (0.001 sec)

2)

MariaDB [employee]> SELECT d.department_name, e.name FROM departments d INNER JOIN employees e WHERE d.manager_id=e.id;
+------------------+----------+
| department_name  | name     |
+------------------+----------+
| Assembly         | James    |
| Quality Control  | Maria    |
| Machining        | Robert   |
| Logistics        | Emma     |
